id;start_date;end_date;language
1;2020-11-23T16:10:36;2020-11-23T14:00:51;SPANISH
2;2020-11-22T21:00:47;2020-11-23T16:05:12;SPANISH
3;2020-11-23T11:56:06;2020-11-22T22:30:15;FRENCH
4;2020-11-23T03:13:37;2020-11-23T14:45:03;FRENCH
5;2020-11-23T12:43:55;2020-11-23T17:30:54;FRENCH
6;2020-11-23T06:36:16;2020-11-23T18:44:30;FRENCH
7;2020-11-23T08:21:36;2020-11-23T02:12:27;FRENCH
8;2020-11-23T07:17:49;2020-11-23T17:33:57;SPANISH
9;2020-11-23T05:58:58;2020-11-23T02:40:21;SPANISH
10;2020-11-23T14:11:02;2020-11-23T00:45:32;SPANISH
